City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,20,EC,1586121854.0,70,-0.74,-90.35,84.2,10.29
1,provideniya,100,RU,1586121094.0,86,64.38,-173.3,6.84,11.63
2,kloulklubed,75,PW,1586121376.0,88,7.04,134.26,75.2,5.82
3,praia da vitoria,75,PT,1586121854.0,87,38.73,-27.07,55.4,14.27
4,atuona,22,PF,1586121358.0,76,-9.8,-139.03,81.59,14.38
5,pisco,0,PE,1586121373.0,30,-13.7,-76.22,73.0,18.34
6,longyearbyen,20,SJ,1586121326.0,65,78.22,15.64,3.2,3.36
7,rikitea,80,PF,1586121330.0,65,-23.12,-134.97,74.97,10.65
8,avarua,75,CK,1586121335.0,83,-21.21,-159.78,82.4,9.17
9,buraydah,20,SA,1586121855.0,57,26.33,43.98,78.8,12.75
10,bintulu,75,MY,1586121339.0,100,3.17,113.03,77.0,4.0
11,praia,20,CV,1586121642.0,69,14.92,-23.51,73.4,23.04
12,namatanai,29,PG,1586121855.0,73,-3.67,152.43,81.61,4.27
13,camacha,20,PT,1586121855.0,88,33.08,-16.33,68.0,11.41
14,pointe michel,40,DM,1586121855.0,79,15.25,-61.38,84.2,10.29
15,ushuaia,75,AR,1586121335.0,80,-54.8,-68.3,39.2,32.21
16,hermanus,81,ZA,1586121333.0,98,-34.42,19.23,57.99,7.0
17,katobu,86,ID,1586121856.0,91,-4.94,122.53,76.12,0.63
18,mugur-aksy,0,RU,1586121856.0,56,50.35,90.5,16.34,2.51
19,punta arenas,75,CL,1586121783.0,49,-53.15,-70.92,46.4,17.22
20,fortuna,75,US,1586121200.0,76,40.6,-124.16,52.0,9.17
21,new norfolk,20,AU,1586121856.0,66,-42.78,147.06,51.01,11.41
22,adrar,0,MR,1586121435.0,16,20.5,-10.07,82.02,9.91
23,lubango,0,AO,1586121857.0,54,-14.92,13.49,59.83,1.32
24,moindou,98,NC,1586121857.0,69,-21.69,165.68,78.8,5.82
25,luba,20,GQ,1586121857.0,100,3.46,8.55,80.6,7.61
26,busselton,70,AU,1586121328.0,44,-33.65,115.33,64.0,12.06
27,vila franca do campo,20,PT,1586121857.0,93,37.72,-25.43,59.0,7.87
28,rocha,100,UY,1586121350.0,59,-34.48,-54.33,71.19,6.2
29,chokurdakh,100,RU,1586121403.0,96,70.63,147.92,9.66,7.87
30,salalah,0,OM,1586121390.0,78,17.02,54.09,80.6,2.24
31,airai,33,TL,1586121390.0,67,-8.93,125.41,60.73,1.61
32,ribeira grande,75,PT,1586121858.0,77,38.52,-28.7,60.8,6.93
33,mackenzie,90,CA,1586121858.0,42,55.3,-123.17,28.4,6.93
34,tasiilaq,100,GL,1586121335.0,44,65.61,-37.64,17.6,5.82
35,khatanga,99,RU,1586121929.0,97,71.97,102.5,29.8,14.03
36,taga,0,RO,1586121858.0,39,46.95,24.05,46.4,6.93
37,daru,41,PG,1586121859.0,81,-9.08,143.21,77.92,7.34
38,narsaq,83,GL,1586121438.0,22,60.92,-46.05,30.2,6.93
39,inhambane,1,MZ,1586121859.0,78,-23.86,35.38,74.66,7.78
40,bluff,100,NZ,1586121350.0,82,-46.6,168.33,60.01,3.0
41,kodiak,1,US,1586121358.0,38,57.79,-152.41,41.0,20.8
42,bredasdorp,94,ZA,1586121094.0,82,-34.53,20.04,60.8,12.75
43,nanortalik,96,GL,1586121381.0,80,60.14,-45.24,25.18,9.53
44,curillo,96,CO,1586121859.0,80,1.03,-75.92,82.71,3.11
45,kapaa,1,US,1586121130.0,78,22.08,-159.32,80.01,9.17
46,auki,95,SB,1586121860.0,81,-8.77,160.7,82.24,14.5
47,belur,79,IN,1586121860.0,68,13.17,75.87,70.05,5.28
48,cape town,40,ZA,1586121860.0,100,-33.93,18.42,57.99,8.05
49,pavilosta,22,LV,1586121860.0,93,56.89,21.19,37.4,4.7
50,castro,13,BR,1586121275.0,52,-24.79,-50.01,66.94,1.74
51,mar del plata,100,AR,1586121581.0,60,-38.0,-57.56,73.4,11.41
52,vila velha,75,BR,1586121861.0,73,-20.33,-40.29,77.0,5.82
53,axim,35,GH,1586121861.0,79,4.87,-2.24,83.1,8.99
54,pevek,100,RU,1586121378.0,91,69.7,170.31,-7.62,3.8
55,musoma,74,TZ,1586121861.0,61,-1.5,33.8,70.88,8.03
56,jamestown,1,US,1586121348.0,66,42.1,-79.24,51.01,9.17
57,hilo,90,US,1586121751.0,83,19.73,-155.09,75.2,4.7
58,qaanaaq,100,GL,1586121092.0,84,77.48,-69.36,12.54,1.92
59,port lincoln,74,AU,1586121862.0,81,-34.73,135.87,60.82,6.15
60,sal rei,20,CV,1586121862.0,73,16.18,-22.92,71.6,14.99
61,belaya gora,100,RU,1586121862.0,96,68.53,146.42,12.78,5.86
62,mataura,100,NZ,1586121337.0,82,-46.19,168.86,60.01,3.0
63,albany,90,US,1586121820.0,55,42.6,-73.97,62.01,13.87
64,pareora,100,NZ,1586121862.0,97,-44.49,171.21,57.99,8.59
65,port macquarie,0,AU,1586121623.0,82,-31.43,152.92,57.2,5.82
66,lagoa,98,PT,1586121391.0,83,39.05,-27.98,56.21,15.73
67,nuuk,0,GL,1586121343.0,54,64.18,-51.72,28.4,4.7
68,gushikawa,1,JP,1586121863.0,82,26.35,127.87,66.2,5.82
69,trelew,27,AR,1586121572.0,33,-43.25,-65.31,58.37,30.15
70,asau,0,RO,1586121431.0,44,46.43,26.4,39.99,5.82
71,necochea,69,AR,1586121863.0,93,-38.55,-58.74,66.99,4.0
72,asifabad,71,IN,1586121863.0,26,19.37,79.28,86.79,3.44
73,nouakchott,0,MR,1586121863.0,78,18.09,-15.98,71.6,19.46
74,vaini,75,TO,1586121335.0,69,-21.2,-175.2,78.8,5.82
75,hobart,20,AU,1586121717.0,66,-42.88,147.33,51.01,11.41
76,kieta,17,PG,1586121864.0,77,-6.22,155.63,79.84,4.47
77,meulaboh,99,ID,1586121935.0,82,4.14,96.13,79.2,3.65
78,superior,1,US,1586121864.0,48,46.72,-92.1,53.6,11.41
79,mnogovershinnyy,73,RU,1586121864.0,86,53.94,139.92,18.86,1.14
80,san patricio,40,MX,1586121864.0,74,19.22,-104.7,86.0,23.04
81,mayumba,81,GA,1586121864.0,86,-3.43,10.66,80.6,4.79
82,muskegon,1,US,1586121715.0,42,43.3,-86.13,57.99,9.17
83,ojinaga,90,MX,1586121865.0,26,29.57,-104.42,80.6,9.13
84,margate,0,GB,1586121178.0,54,51.38,1.39,60.01,6.93
85,hithadhoo,0,MV,1586121338.0,73,-0.6,73.08,82.78,4.79
86,cherskiy,0,RU,1586121355.0,89,68.75,161.3,-1.97,12.82
87,baculin,80,PH,1586121794.0,77,7.45,126.58,76.14,4.68
88,santa isabel do rio negro,99,BR,1586121866.0,68,-0.41,-65.02,87.76,2.35
89,flinders,0,AU,1586121378.0,72,-34.58,150.86,62.01,11.41
90,natal,40,BR,1586121866.0,83,-5.79,-35.21,84.2,9.17
91,shwebo,96,MM,1586121866.0,25,22.57,95.7,82.13,4.12
92,nsanje,0,MW,1586121866.0,71,-16.92,35.26,72.48,5.55
93,arlit,0,NE,1586121866.0,10,18.74,7.39,85.06,4.0
94,shellbrook,75,CA,1586121289.0,67,53.22,-106.4,23.0,10.29
95,mahebourg,40,MU,1586121361.0,78,-20.41,57.7,78.8,8.05
96,kruisfontein,100,ZA,1586121387.0,71,-34.0,24.73,63.79,15.19
97,port moresby,42,PG,1586121867.0,74,-9.44,147.18,75.97,3.71
98,marsh harbour,65,BS,1586121867.0,60,26.54,-77.06,73.9,11.95
99,babushkin,0,RU,1586121867.0,85,51.71,105.86,26.11,2.89
100,ponta do sol,75,PT,1586121867.0,82,32.67,-17.1,68.0,3.36
101,lydenburg,9,ZA,1586121868.0,93,-25.1,30.46,64.99,1.99
102,carolina,75,PR,1586121868.0,74,18.38,-65.96,82.4,12.75
103,antalaha,35,MG,1586121868.0,82,-14.9,50.28,77.25,12.21
104,coihaique,40,CL,1586121868.0,56,-45.58,-72.07,48.2,8.52
105,hofn,100,IS,1586121868.0,86,64.25,-15.21,45.61,17.45
106,santa lucia,20,ES,1586121868.0,77,27.91,-15.54,69.8,4.7
107,faya,5,SA,1586121352.0,59,18.39,42.45,62.6,7.47
108,pangai,100,TO,1586121869.0,75,-19.8,-174.35,77.97,16.17
109,viransehir,100,TR,1586121869.0,55,37.24,39.76,53.65,9.82
110,mao,59,ES,1586121778.0,76,39.89,4.27,55.4,5.82
111,umarkhed,85,IN,1586121869.0,24,19.6,77.7,86.92,6.06
112,itapaci,91,BR,1586121869.0,68,-14.95,-49.55,78.8,3.33
113,khingansk,53,RU,1586121870.0,85,49.12,131.18,24.8,2.21
114,tiksi,93,RU,1586121375.0,93,71.69,128.87,17.02,21.14
115,east london,100,ZA,1586121870.0,74,-33.02,27.91,70.81,13.18
116,nioro,0,GM,1586121870.0,25,13.35,-15.75,86.9,7.05
117,port blair,69,IN,1586121870.0,75,11.67,92.75,81.79,8.19
118,norman wells,20,CA,1586121870.0,62,65.28,-126.83,23.0,24.16
119,severo-kurilsk,32,RU,1586121371.0,89,50.68,156.12,32.94,13.13
120,chuy,81,UY,1586121941.0,66,-33.7,-53.46,70.52,6.58
121,poletayevo,40,RU,1586121871.0,74,55.03,61.11,37.4,6.71
122,sardhana,17,IN,1586121871.0,34,29.15,77.62,71.37,5.12
123,barabai,71,ID,1586121871.0,88,-2.58,115.38,74.75,0.4
124,turtas,100,RU,1586121871.0,95,58.94,69.13,35.58,6.64
125,arkhangelskoye,25,RU,1586121871.0,87,55.85,35.33,28.98,9.33
126,darlawn,0,IN,1586121871.0,54,24.02,92.9,61.75,3.36
127,zhanaozen,81,KZ,1586121424.0,46,43.3,52.8,55.33,5.39
128,gat,52,IL,1586121344.0,82,31.61,34.76,63.0,3.36
129,asyut,2,EG,1586121872.0,49,27.18,31.18,69.8,5.82
130,porto belo,0,BR,1586121872.0,78,-27.16,-48.55,75.99,11.41
131,kemijarvi,16,FI,1586121872.0,93,66.71,27.43,17.15,5.99
132,kaitangata,100,NZ,1586121419.0,93,-46.28,169.85,57.0,1.99
133,bengkulu,99,ID,1586121366.0,86,-3.8,102.27,76.71,6.26
134,albion,40,US,1586121873.0,26,42.24,-84.75,57.2,5.82
135,ancud,20,CL,1586121356.0,50,-41.87,-73.82,55.4,14.99
136,clyde river,40,CA,1586121873.0,72,70.47,-68.59,10.4,23.04
137,belyy yar,0,RU,1586121873.0,79,53.6,91.39,23.0,3.09
138,astana,90,KZ,1586121833.0,93,51.18,71.45,42.8,11.18
139,isangel,100,VU,1586121874.0,85,-19.55,169.27,79.2,19.1
140,tilichiki,80,RU,1586121415.0,94,60.47,166.1,10.33,3.62
141,yellowknife,20,CA,1586121355.0,48,62.46,-114.35,21.2,13.87
142,dzilam gonzalez,0,MX,1586121874.0,40,21.28,-88.93,91.92,10.33
143,dikson,99,RU,1586121944.0,96,73.51,80.55,12.61,5.75
144,butaritari,16,KI,1586121944.0,77,3.07,172.79,82.62,11.18
145,xacmaz,100,AZ,1586121874.0,77,41.46,48.81,49.62,8.43
146,horsham,0,GB,1586121875.0,47,51.06,-0.33,62.6,8.05
147,kukuna,1,SL,1586121875.0,63,9.4,-12.67,85.68,7.72
148,arraial do cabo,40,BR,1586121875.0,73,-22.97,-42.03,77.0,4.7
149,visnes,100,NO,1586121875.0,62,59.36,5.22,51.01,20.8
150,salimpur,73,IN,1586121875.0,29,28.13,76.28,75.15,3.89
151,chara,97,RU,1586121875.0,81,56.91,118.26,16.0,4.56
152,el alto,88,PE,1586121784.0,69,-4.27,-81.21,75.02,7.38
153,saint anthony,1,US,1586121876.0,26,45.02,-93.22,57.2,10.29
154,paka,99,MY,1586121876.0,94,4.64,103.44,77.0,1.12
155,puerto penasco,21,MX,1586121876.0,75,31.32,-113.53,66.0,13.0
156,torbay,75,CA,1586121946.0,74,47.67,-52.73,30.0,11.41
157,curitibanos,0,BR,1586121872.0,44,-27.28,-50.58,65.39,1.3
158,lompoc,100,US,1586121233.0,87,34.64,-120.46,57.2,12.75
159,alta floresta,92,BR,1586121876.0,80,-9.88,-56.09,81.19,3.15
160,vestmannaeyjar,100,IS,1586121379.0,94,63.44,-20.27,45.75,30.65
161,mana,97,GF,1586121401.0,78,5.66,-53.78,81.16,10.04
162,bucerias,40,MX,1586121877.0,69,20.75,-105.33,80.6,11.41
163,buala,77,SB,1586121877.0,79,-8.14,159.59,81.79,12.59
164,tuatapere,100,NZ,1586121369.0,82,-46.13,167.68,60.01,3.0
165,saint-philippe,20,RE,1586121371.0,73,-21.36,55.77,77.0,5.82
166,lensk,82,RU,1586121877.0,95,60.73,114.93,27.34,8.05
167,contai,0,IN,1586121877.0,76,21.78,87.75,79.59,8.99
168,vardo,76,NO,1586121877.0,67,70.37,31.11,21.2,16.11
169,kutum,21,SD,1586121434.0,10,14.2,24.67,74.86,11.83
170,haines junction,95,CA,1586121878.0,73,60.75,-137.51,29.84,8.95
171,port alfred,99,ZA,1586121878.0,80,-33.59,26.89,66.22,12.06
172,kismayo,59,SO,1586121385.0,73,-0.36,42.55,83.3,10.71
173,carutapera,98,BR,1586121413.0,85,-1.2,-46.02,81.59,9.91
174,lebu,0,CL,1586121949.0,63,-37.62,-73.65,60.42,11.01
175,laguna,90,US,1586121401.0,87,38.42,-121.42,57.0,9.17
176,lincoln,1,US,1586121645.0,44,40.8,-96.67,62.01,13.87
177,okato,75,NZ,1586121879.0,60,-39.2,173.88,57.0,5.01
178,port hedland,96,AU,1586121879.0,94,-20.32,118.57,75.2,4.7
179,nhulunbuy,77,AU,1586121879.0,94,-12.23,136.77,77.0,6.11
180,wilson,1,US,1586121879.0,44,36.15,-86.28,80.01,6.93
181,bandar-e lengeh,1,IR,1586121879.0,88,26.56,54.88,73.4,6.93
182,lillesand,95,NO,1586121879.0,75,58.25,8.38,46.0,4.7
183,ponta delgada,20,PT,1586121880.0,93,37.73,-25.67,59.0,8.41
184,saint-georges,20,GD,1586121880.0,74,12.06,-61.75,84.2,18.34
185,muravlenko,100,RU,1586121880.0,94,63.79,74.52,32.4,15.43
186,saskylakh,96,RU,1586121355.0,96,71.92,114.08,28.44,17.45
187,itoman,75,JP,1586121880.0,59,26.12,127.67,66.2,6.93
188,thompson,40,CA,1586121708.0,57,55.74,-97.86,23.0,6.93
189,dingle,77,PH,1586121951.0,83,11.0,122.67,76.48,8.5
190,split,40,HR,1586121881.0,29,43.51,16.44,60.8,10.29
191,sitka,75,US,1586121951.0,64,57.05,-135.33,39.2,11.41
192,bathsheba,40,BB,1586121432.0,69,13.22,-59.52,82.4,14.99
193,kalmar,20,SE,1586121755.0,74,56.66,16.36,42.01,3.36
194,port elizabeth,100,ZA,1586121881.0,82,-33.92,25.57,64.4,17.22
195,robertsport,43,LR,1586121357.0,81,6.75,-11.37,82.26,4.92
196,wilmington,1,US,1586121421.0,45,34.23,-77.94,68.0,10.29
197,rawatsar,0,IN,1586121881.0,31,29.28,74.38,77.09,7.11
198,nongan,2,CN,1586121882.0,53,44.38,125.17,26.6,4.47
199,verkhoyansk,84,RU,1586121953.0,88,67.54,133.38,8.65,7.25
200,fairbanks,90,US,1586121639.0,74,64.84,-147.72,36.0,20.8
201,jieshi,83,CN,1586121882.0,88,22.81,115.83,61.0,11.1
202,kalmunai,5,LK,1586121882.0,74,7.42,81.82,80.47,4.32
203,beaverlodge,75,CA,1586121605.0,79,55.22,-119.44,21.2,4.7
204,dhidhdhoo,73,MV,1586121397.0,68,6.88,73.1,83.7,2.17
205,victoria,40,HK,1586121954.0,82,22.29,114.16,63.0,8.05
206,port-gentil,12,GA,1586121389.0,84,-0.72,8.78,81.59,12.41
207,caravelas,43,BR,1586121954.0,78,-17.71,-39.25,78.89,14.92
208,xingyi,72,CN,1586121883.0,55,24.19,102.82,52.38,3.04
209,sao filipe,0,CV,1586121883.0,77,14.9,-24.5,73.22,11.92
210,quatre cocos,40,MU,1586121883.0,78,-20.21,57.76,78.8,8.05
211,agidel,0,RU,1586121883.0,90,55.91,53.94,31.84,7.52
212,baisha,68,CN,1586121883.0,77,26.52,110.93,52.16,1.25
213,vani,90,GE,1586121884.0,87,42.08,42.52,55.4,3.36
214,kathmandu,20,NP,1586121884.0,71,27.72,85.32,55.4,2.24
215,simpang empat,40,MY,1586121884.0,94,4.95,100.63,78.8,1.12
216,ixtapa,40,MX,1586121177.0,69,20.7,-105.2,80.6,11.41
217,mo i rana,99,NO,1586121884.0,89,66.31,14.14,24.31,5.14
218,haapiti,1,PF,1586121884.0,62,-17.57,-149.87,89.6,16.11
219,bharatpur,0,IN,1586121885.0,24,27.22,77.48,77.61,4.09
220,bubaque,0,GW,1586121956.0,70,11.28,-15.83,79.83,16.31
221,kenai,1,US,1586121885.0,64,60.55,-151.26,37.99,26.4
222,portland,40,US,1586121880.0,44,45.52,-122.68,64.0,7.34
223,aykhal,55,RU,1586121885.0,68,66.0,111.5,28.4,6.71
224,saint george,1,US,1586121878.0,20,37.1,-113.58,71.01,20.8
225,taywarah,100,AF,1586121885.0,42,33.35,64.42,34.2,2.35
226,kokopo,30,PG,1586121885.0,78,-4.35,152.26,78.94,2.57
227,shambu,72,ET,1586121886.0,29,9.57,37.1,61.3,3.02
228,riberalta,16,BO,1586121886.0,65,-10.98,-66.1,87.85,1.57
229,te anau,100,NZ,1586121886.0,74,-45.42,167.72,58.96,5.28
230,thio,99,NC,1586121886.0,69,-21.62,166.22,78.8,5.82
231,port hardy,20,CA,1586121886.0,61,50.7,-127.42,46.4,13.87
232,anloga,20,GH,1586121886.0,79,5.79,0.9,82.99,11.45
233,hamilton,90,US,1586121214.0,71,39.18,-84.53,60.01,5.82
234,tabou,64,CI,1586121887.0,83,4.42,-7.35,82.69,8.05
235,itarema,45,BR,1586121887.0,83,-2.92,-39.92,80.74,7.4
236,cairns,75,AU,1586121640.0,83,-16.92,145.77,77.0,5.82
237,hualmay,0,PE,1586121959.0,63,-11.1,-77.61,77.65,8.66
238,georgetown,40,MY,1586121713.0,94,5.41,100.34,78.8,3.36
239,kapit,98,MY,1586121959.0,95,2.02,112.93,73.8,1.9
240,klaksvik,100,FO,1586121959.0,76,62.23,-6.59,50.0,21.92
241,leshukonskoye,100,RU,1586121888.0,96,64.9,45.76,23.36,8.61
242,kavieng,93,PG,1586121785.0,75,-2.57,150.8,83.23,10.13
243,college,90,US,1586121959.0,64,64.86,-147.8,36.0,23.04
244,mitsamiouli,88,KM,1586121960.0,65,-11.38,43.28,83.86,3.44
245,mariental,10,NA,1586121888.0,20,-24.63,17.97,76.14,8.43
246,algiers,35,DZ,1586121695.0,93,36.75,3.04,55.4,3.36
247,sobolevo,11,RU,1586121443.0,80,54.43,31.9,33.35,6.67
248,high level,40,CA,1586121888.0,50,58.52,-117.14,28.4,6.93
249,iqaluit,75,CA,1586121960.0,71,63.75,-68.51,6.8,14.99
250,muncar,100,ID,1586121888.0,82,-8.43,114.33,79.5,2.42
251,miri,75,MY,1586121961.0,94,4.41,114.01,78.01,8.05
252,lazaro cardenas,0,MX,1586121889.0,49,17.96,-102.2,86.23,8.93
253,chapais,90,CA,1586121889.0,64,49.78,-74.85,35.6,13.87
254,geraldton,0,AU,1586121961.0,93,-28.77,114.6,60.8,6.93
255,muleba,100,TZ,1586121889.0,59,-1.84,31.65,67.93,6.26
256,deputatskiy,28,RU,1586121961.0,87,69.3,139.9,1.11,4.99
257,constitucion,0,CL,1586121394.0,52,-35.33,-72.42,62.42,18.16
258,little elm,90,US,1586121889.0,72,33.16,-96.94,66.2,4.7
259,awbari,1,LY,1586121889.0,25,26.59,12.78,66.85,8.9
260,krasnoselkup,100,RU,1586121962.0,95,65.7,82.47,29.95,17.6
261,yhu,77,PY,1586121890.0,44,-25.05,-55.92,84.85,3.04
262,buzmeyin,90,TM,1586121890.0,93,38.05,58.21,55.4,4.7
263,kibala,7,TD,1586121890.0,28,9.11,18.35,86.65,2.46
264,cayenne,75,GF,1586121396.0,74,4.93,-52.33,84.2,12.75
265,soyo,38,AO,1586121890.0,87,-6.13,12.37,80.87,9.51
266,boa vista,20,BR,1586121891.0,66,2.82,-60.67,86.0,4.7
267,panguna,26,PG,1586121891.0,79,-6.32,155.48,71.91,3.06
268,poum,100,NC,1586121412.0,77,-20.23,164.02,79.86,20.83
269,upernavik,74,GL,1586121964.0,80,72.79,-56.15,13.41,1.97
270,birao,92,CF,1586121891.0,12,10.28,22.79,84.67,3.56
271,sabang,91,ID,1586121367.0,66,5.89,95.32,83.44,1.77
272,lasa,5,IT,1586121891.0,69,46.62,10.7,51.8,2.24
273,burnie,21,AU,1586121891.0,91,-41.07,145.92,46.99,3.0
274,quiindy,100,PY,1586121891.0,44,-25.97,-57.27,87.94,1.05
275,swellendam,10,ZA,1586121892.0,77,-34.02,20.44,60.8,11.41
276,atbasar,100,KZ,1586121892.0,88,51.8,68.33,36.07,7.16
277,jacareacanga,63,BR,1586121892.0,72,-6.22,-57.75,86.13,2.59
278,rio verde de mato grosso,32,BR,1586121892.0,63,-18.92,-54.84,84.09,3.62
279,shanghai,54,CN,1586121745.0,70,31.22,121.46,48.2,2.24
280,katsuura,20,JP,1586121395.0,52,35.13,140.3,46.4,8.05
281,erenhot,61,CN,1586121892.0,29,43.65,111.98,46.17,6.2
